,assoc_req_count,assoc_succ_count,auths_count,deauth1_count,deauth2_count,deauth3_count,deauth_total,assoc_succ + auth
28:77:f1:78:5c:72,4.0,4.0,4.0,3.0,3.0,3.0,9.0,8.0
ac:a3:1e:54:21:20,6.0,6.0,6.0,4.0,3.0,2.0,9.0,12.0
74:b5:87:0b:2a:e0,31.0,31.0,31.0,22.0,24.0,5.0,51.0,62.0
48:4a:e9:d5:d6:61,796.0,796.0,907.0,787.0,717.0,78.0,1582.0,1703.0
f0:ab:54:33:43:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78:4f:43:7a:15:03,16.0,16.0,16.0,16.0,10.0,5.0,31.0,32.0
38:17:c3:82:bc:10,43.0,43.0,45.0,41.0,37.0,9.0,87.0,88.0
ce:bc:29:4a:57:8f,47.0,47.0,51.0,47.0,24.0,5.0,76.0,98.0
14:c2:13:56:60:f8,11.0,11.0,11.0,7.0,11.0,0.0,18.0,22.0
b8:41:a4:1d:c6:5b,39.0,39.0,39.0,33.0,38.0,0.0,71.0,78.0
70:3a:0e:53:07:70,264.0,264.0,269.0,180.0,177.0,10.0,367.0,533.0
62:0d:50:8e:0a:be,113.0,113.0,118.0,102.0,65.0,8.0,175.0,231.0
ac:a3:1e:5a:71:11,42.0,42.0,46.0,42.0,41.0,1.0,84.0,88.0
88:19:08:a7:89:fc,60.0,60.0,65.0,59.0,46.0,3.0,108.0,125.0
40:e3:d6:54:c4:81,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
ac:a3:1e:5b:7c:81,29.0,29.0,32.0,30.0,21.0,2.0,53.0,61.0
16:4e:af:e2:e1:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33:33:ff:ec:a0:3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48:4a:e9:dd:c8:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78:61:7c:5b:1a:3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bc:82:5d:4f:ff:5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3c:22:fb:94:d6:2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:52:dd:01,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
88:19:08:7c:57:d2,114.0,114.0,124.0,110.0,94.0,6.0,210.0,238.0
f0:ab:54:80:89:fa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ae:ae:b1:00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48:60:5f:79:92:1f,10.0,10.0,10.0,10.0,4.0,6.0,20.0,20.0
82:bf:d2:57:38:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92:fe:28:41:72:3f,22.0,22.0,22.0,22.0,17.0,3.0,42.0,44.0
ae:a0:c3:4e:f5:06,118.0,118.0,118.0,117.0,112.0,3.0,232.0,236.0
ba:d7:af:1e:3e:1f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c0:e7:b5:c9:79:d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52:86:0c:c2:d3:74,13.0,13.0,13.0,9.0,5.0,3.0,17.0,26.0
